year,month,capacity_hm3,reservoir
1998,enero,23.891,RioCofio_LaAcena
1998,febrero,23.816,RioCofio_LaAcena
1998,marzo,23.245,RioCofio_LaAcena
1998,abril,23.35,RioCofio_LaAcena
1998,mayo,23.678,RioCofio_LaAcena
1998,junio,21.947,RioCofio_LaAcena
1998,julio,18.924,RioCofio_LaAcena
1998,agosto,15.802,RioCofio_LaAcena
1998,septiembre,13.085,RioCofio_LaAcena
1998,octubre,11.208,RioCofio_LaAcena
1998,noviembre,9.802,RioCofio_LaAcena
1998,diciembre,8.315,RioCofio_LaAcena
1999,enero,9.5,RioCofio_LaAcena
1999,febrero,11.823,RioCofio_LaAcena
1999,marzo,12.75,RioCofio_LaAcena
1999,abril,11.733,RioCofio_LaAcena
1999,mayo,12.366,RioCofio_LaAcena
1999,junio,9.996,RioCofio_LaAcena
1999,julio,5.747,RioCofio_LaAcena
1999,agosto,3.866,RioCofio_LaAcena
1999,septiembre,3.627,RioCofio_LaAcena
1999,octubre,3.807,RioCofio_LaAcena
1999,noviembre,4.668,RioCofio_LaAcena
1999,diciembre,6.1,RioCofio_LaAcena
2000,enero,7.496,RioCofio_LaAcena
2000,febrero,7.807,RioCofio_LaAcena
2000,marzo,7.392,RioCofio_LaAcena
2000,abril,12.366,RioCofio_LaAcena
2000,mayo,16.081,RioCofio_LaAcena
2000,junio,16.345,RioCofio_LaAcena
2000,julio,13.829,RioCofio_LaAcena
2000,agosto,11.786,RioCofio_LaAcena
2000,septiembre,10.891,RioCofio_LaAcena
2000,octubre,6.508,RioCofio_LaAcena
2000,noviembre,6.637,RioCofio_LaAcena
2000,diciembre,12.814,RioCofio_LaAcena
2001,enero,23.625,RioCofio_LaAcena
2001,febrero,23.763,RioCofio_LaAcena
2001,marzo,23.795,RioCofio_LaAcena
2001,abril,23.742,RioCofio_LaAcena
2001,mayo,23.721,RioCofio_LaAcena
2001,junio,23.488,RioCofio_LaAcena
2001,julio,17.716,RioCofio_LaAcena
2001,agosto,15.242,RioCofio_LaAcena
2001,septiembre,14.979,RioCofio_LaAcena
2001,octubre,15.005,RioCofio_LaAcena
2001,noviembre,14.988,RioCofio_LaAcena
2001,diciembre,15.014,RioCofio_LaAcena
2002,enero,14.71,RioCofio_LaAcena
2002,febrero,12.997,RioCofio_LaAcena
2002,marzo,14.953,RioCofio_LaAcena
