ds,year,month,total_hm3,RioCofio_LaAcena,RioGuadalix_Pedrezuela,RioGuadarrama-Aulencia_LaJorosa,RioGuadarrama-Aulencia_Navalmedio,RioGuadarrama-Aulencia_Valmayor,RioJarama_ElVado,RioLozoya_ElAtazar,RioLozoya_ElVillar,RioLozoya_LaPinilla,RioLozoya_PuentesViejas,RioLozoya_Riosequillo,RioManzanares_Navacerrada,RioManzanares_Santillana
1998-01-01,1998,enero,788.352,23.891,38.413,6.572,0.182,118.99,45.882,326.784,22.741,30.331,41.769,45.782,10.062,76.953
1998-02-01,1998,febrero,790.6500000000001,23.816,38.104,6.462,0.617,119.578,46.043,327.59,21.55,30.254,41.442,46.64,10.114,78.44
1998-03-01,1998,marzo,785.8990000000001,23.245,33.449,6.848,0.5,119.063,39.928,336.267,21.67,30.02,40.911,45.965,9.966,78.067
1998-04-01,1998,abril,810.6140000000001,23.35,27.848,6.747,0.639,119.578,42.443,353.267,21.644,31.674,44.173,46.209,10.326,82.716
1998-05-01,1998,mayo,864.0329999999999,23.678,23.009,7.041,0.625,120.833,49.165,391.448,21.925,35.518,50.395,43.954,10.989,85.453
1998-06-01,1998,junio,836.7870000000001,21.947,21.13,6.718,0.559,109.389,41.751,412.483,19.654,29.596,43.927,41.359,9.647,78.627
1998-07-01,1998,julio,778.8879999999999,18.924,14.083,6.072,0.643,95.295,24.442,405.935,12.448,28.418,43.706,43.338,7.982,77.602
1998-08-01,1998,agosto,726.159,15.802,13.737,5.53,0.584,86.685,13.855,388.735,11.913,26.073,43.051,37.611,6.183,76.4
1998-09-01,1998,septiembre,680.028,13.085,12.905,5.881,0.336,81.99,8.98,366.046,10.276,22.086,42.358,34.818,5.051,76.216
1998-10-01,1998,octubre,641.6379999999999,11.208,10.461,6.006,0.191,78.129,13.34,336.358,13.147,21.86,34.594,35.689,4.348,76.307
